Question Number,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Flag
2200,"8.   Social pathology is:  

[AIIMS PGMEE May 2013]",Change in disease pattern due to change in lifestyle,"Study of social problems which cause disease in pop-

ulation","Conflicts  arising  from  new  opportunities  in  transi-

tional societies",Study of human relationships and behaviour,,,
2201,"9.   Sociology:  

[Recent Question 2013]",Study of human relationship,Study of human behaviour,Both,,,,
2202,"10.   Study of physical, social and cultural history of man is 
[Recent Question 2012] 
[Recent Question 2013]

known as:",Social science,Anthropology,Acculturation,Sociology,,,
2203,"11.   An organized group of people with social relationship:
[Recent Question 2013]",Community,Association,Society,Family,,,
2204,12.   Acculturation is:,Triage,Cultural change due to socialization,Attitude,"Belief

[DNB June 2009]

Review Questions",,,
2205,13.   Acculturation means:,Culture contact,Study of the various cultures,Cultural history of health and disease,"Exchange of Ideas

[MP 2003] [DNB 2004]
[Recent Question 2012]",,,
2206,"14.   Society is a:  

[AP 2003]",System of relations between individuals,Group with same beliefs,Group with different beliefs,Group with different religions,,,
2207,"15.   When there is contact between two people with diffe­
rent types of culture, there is diffusion of culture both 
ways which is called:",Socialization,Acculturation,Adjustment,"All of the above

[AP 2008]",,,
2208,"16.   A Child’s weight for height is more than 2SD of mean, 
and his height for age is less than 2SD of mean. He is 
classified	as:",Normal,"Stunted

[MP 2000]

657

mebooksfree.com

Social Sciences and HealthSocial Sciences and Health",Wasted,Wasted and stunted,,,
2209,"17.   Tendency of some members of a group to identify and 
interact with selected members only, leads to formation 
of a subgroup, this is called as:",Cohesion,Sociometry,Group structure,"Group dynamics

[MH 2003]",,,
2210,"18.   Which of the following is an example of primary social 

relationship?",Husband and wife,Author and publisher,Both,"None

[MH 2003]",,,
2211,"19.   Change in the affective level after communication and 

health education means change in:",Knowledge,Attitude,Skills,"All

[MH 2006]",,,
2212,20.   The behavioral Science used extensively in PSM is:,Anthropology,Economics,Politics,"Law

PSYCHOLOGY

[RJ 2006]",,,
2213,21.   Phobia is exaggerated or unnecessary form of:,Fear,Anger,Anxiety,"Love

[AIPGME 1995]",,,
2214,"22.   Match the following types of learning: 

A.  Skills 
B.  Knowledge 

Type of learning Associations 
  I.  Cognitive learning 
 II.  Affective learning 
III.  Psychomotor learning  C.  Attitudes","I – B, II – A, III – C","I – B, II – C, III – A","I – A, II – C, III – B","I – A, II – B, III – C  

[AIPGME 1999]",,,
2215,"23.   Most important epidemiological tool used for assessing 

disability in children is:",Activities of Daily living (ADL) scale,"Wing’s Handicaps, Behavior and Skills (HBS) Schedule",Binet and Simon IQ tests,"Physical Quality of Life Index (PQLI)

[AIPGME 2003]",,,
2216,"24.   Inner subjective thought of a person towards an indivi­

dual or a situation is best described as:",Attitude,Value,Belief,"Opinion 

[AIIMS May 2009]

658",,,
2217,"25.   A  temporary,  provisional  view  held  by  people  on  a 

point of debate is:",Opinion,Practice,Attitude,"Belief 

[AIIMS May 2009]",,,
2218,"26.   Learned behaviour which is permanent and consistent, 

but liable to change is:",Cultural belief,Attitude,Knowledge,"Practice 

[AIIMS Nov 2009]",,,
2219,"27.   According to Maslow’s hierarchy of needs, following is 

at the top of pyramid:",Physical needs,Self actualization,Safety,"Esteem recognition

[NUPGET 2013]",,,
2220,"28.   Social psychology is:  

[Recent Question 2013]",Human relationships & behaviour,Psychology of individuals in society,Cultural history of man,"None

Review Questions",,,
2221,"29.   Not a method of learning: 

[DNB 2001]",Propaganda,Writing,Group discussion,Reading,,,
2222,"30.   A primitive man, feeling, thinking deals with:",Social psychology,Sociometry,Sociopathy,"Sociotherapy

IQ

[UP 2003]",,,
2223,"31.   ‘Moron’ is one with an IQ of:  

[AIIMS Nov 2003]",0-24,25-49,50-69,70-79,,,
2224,"32.   A person with an IQ of 55 is:  

[AIPGME 1995]",Mild mental retardation,Moderate mental retardation,Severe mental retardation,Profound mental retardation,,,
2225,33.		  Severe	mental	retardation	is	defined	as:,Intelligence quotient 50–70,Intelligence quotient 35–49,Intelligence quotient 20–34,"Intelligence quotient < 20

[DPG 2011]
[UP 2003]
[MH 2000]

mebooksfree.com

Review of Preventive and Social MedicineSocial Sciences and Health",,,
2226,"34.   IQ = 51 is:  

[Recent Question 2013]",Mild MR,Moderate MR,Severe MR,Profound MR,,,
2227,35.   Average Mental IQ according to Wechsler’s Scale is:,70-79,80-89,90-109,"110-119

[AIIMS PGMEE May 2013]",,,
2228,36.   Mild mental retardation does not include IQ level(s):,45,55,65,75,"85

[PGI May 2012]",,
2229,"37.   IQ is calculated by:  

[Recent Question 2013]",Mental age/ chronological age X 100,"Formation, Extension, Contraction, Complete  
extension, Complete contraction, Dissolution","Formation, Contraction, Complete contraction, 
Extension, Complete extension, Dissolution","Formation, Extension, Complete extension, 

Contraction, Complete contraction, Dissolution",,,
2230,"43.   A family where all of its members are playing a part in 
[AIIMS May 2006]

its management is known as:",Elementary family,New family,3-Generation family,Communal family,,,
2231,"44.   Family,  which  lags  behind  rest  of  the  community,  is 

known as:",Communal family,Elementary family,Problem family,"Broken family

[AIIMS Nov 2003]",,,
2232,"45.   The following is true about the term ‘New Families’: 

[AIIMS May 2003]",It is a variant of the 3-generation family,It is applied to all nuclear families of less then,,,,,
2233,"38.   For mental retardation, IQ = 20­34 is:

10 years duration

[Recent Question 2013]",Severe MR,Profound MR,Moderate MR,Mild MR,,,
2234,"39.   Chronological  age  10  yrs,  mental  age  4yrs.  What  that 
[Recent Question 2012]

person called as?",Idiot,Imbecile,Normal,"Genius

Review Questions",,,
2235,40.   Mild mental retardation is an IQ of:,50 – 70,30 – 40,70 – 80,Below 25,,,
2236,41.	  IQ	=	35	-	49;	classified	according	to	WHO	is:,Mild mental retardation,Moderate mental retardation,Severe mental retardation,"Profound mental retardation

[WB 2008, UP 2005]
[RJ 2009]

FAMILY",,,
2237,"42.   Arrange  the  following  stages  of  family  cycle  in  chrono­
[AIIMS Dec 1991]
[Recent Question 2013]

logical sequence:","Formation, Extension, Complete extension, 

Dissolution, Contraction, Complete contraction",,,,,,
2238,46.   Nuclear family consists of:,"Husband, wife and son","Husband, wife and dependent children",Husband and wife only,"Father mother husband and wife

[Recent Question 2012]",,,
2239,"47.   ………………..  is  a  bridge  between  generations,  and  a 

transfer point of civilization",School,Orphanage,Family,"Recreational club 

[Recent Question 2015]

[Bihar 2003]

SOCIO- ECONOMIC STATUS",,,
2240,"48.   Kuppuswamy Scale for socio­economic status is based 

[DNS 2011] [AIPGME 1994, AIIMS Nov 1999]

on","Income of the family, No. of livestock, No. of acres of 
[MH 2000]","Income of the family, No. of members in the family, 

farm land 

Education of head of family","No.  of  vehicles  in  family,  Occupation  of  head  of 

family, Education of head of family","Income, Occupation of head of family, Education of 

head of family",,,
2241,"49.   The socio­economic/Housing scale developed for rural 

setup is:",Pareek,Kuppuswamy,Bhore,"Adson’s scale

[DNB December 2009]

659

mebooksfree.com

Social Sciences and HealthSocial Sciences and Health",,,
2242,"50.   Upper class score in Kuppuswamy Socio­economic sta­
[Recent Question 2014]

tus scale is:",05-Oct,Nov-15,16-25,"26-29

Review Question",,,
2243,"51.   Socioeconomic  status  in  urban  areas  is  indicated  by 

 [AP 2006]

which of the following?",Kuppuswamy scale,Sullivan index,Human development index,"Physical quality of life index

SOCIAL PROBLEMS",,,
2244,52.   The Children’s Act was passed in:   [AIIMS May 2000],1960,1969,1971,1986,,,
2245,"53.   Which  of  the  following  is  best  suited  for  the  role  of  

social worker?",Health professional involved in physiotherapy,"Health  professional  involved  in  coping  strategies, 

[AIIMS PGMEE May 2012]

interpersonal skills, adjustment with family","A person involved in finding jobs and economic sup-

port for disabled","Health professional involved in treatment of patients

ECONOMICS",,,
2246,57.   Income generated within a country is known as:,Gross Domestic Product (GDP)  [AIIMS May 2001],Net National Product (NNP),Net Domestic Product (NDP),Purchasing Power Parity (PPP),,,
2247,58.	  Poverty	Line	can	be	defined	in	terms	of:,Daily fat intake,Daily protein intake,Daily calorie intake,"Access to health services

[AIIMS Nov 1993]",,,
2248,"59.   Social insurance was introduced by: 

[AIPGME 2005]",Martin Luther King,Bismarck,Dr. Watson,Baba Amte,,,
2249,"60.	  Poverty	line	is	defined	as	expenditure	required	for	daily	
[DPG 2007]

calorie consumption below:",1800,2000,2100,2200,,,
2250,"61.   Government (public) expenditure on health as percent­
 [AIIMS PGMEE November 2013]

age of GDP is:",1.2,12,5,0.12,,,
2251,54.   Which  of  the  following  statement,,,,,,,
2252,"62.   Current percent of Indian GDP on health is:  

[PGI May 2013]

Women empowerment?",1.2,2,10,15,Increased life expectancy,,
2253,"55.   The ‘Nirbhaya Fund’ set up by the Government of India 

Review Questions 

[AIIMS PGMEE November 2012]

is for",Ensuring the safety of women,Promoting the financial literacy of rural poor,Promoting Self-Help Groups of women,"Providing free education

[UPSC CMS 2015]

Review Questions",,,
2254,"63.   The  percentage  of  GNP  to  expand  in  total  health  and 

family development is:",3%,5%,6%,"7%

[UP 2005]",,,
2255,"56.	  Estimated	 number	 of	 children	 affected	 by	 trafficking	

  64.  In “poverty lines” the expenditure required for a daily 

every year is:",2200,2400,2100,"2300

[UP 2008]

mebooksfree.com

Review of Preventive and Social MedicineSocial Sciences and Health   
 
INTERVIEWING",,,
2256,65.   First requisite before conducting an interview is:,Securing rapport,Probe questions,Establishing contact,"Guiding the interview

[AIIMS June 1998]",,,
2257,"66.	  In	interview,	first	stage	is	to:		

[DNB December 2011]",Establish contact,Starting interview,Establishing rapport,"Probe questions

MISCELLANEOUS",,,
2258,67.   Most powerful example of social cohesion is:,Mob,Hospital,Family,"Herd

[AIIMS Jan 1992]",,,
2259,69.   Increased Drug Compliance can be seen with:,Frequent dosing,Longer Duration of Treatment,Multiple drugs,Involving family Members in Observation,,,
2260,"70.   An  unstable  and  emotional  temporary  social  group 
[Karnataka 2011]

with a leader is known as:",A band,A crowd,A herd,A mob,,,
2261,"71.	  Study	of	designing	equipment	and	devices	that	fit	the	
human body, its movements, and its cognitive abilities 
is:  
[DNB December 2009]",Economics,Ergonomics,Bionomics,Socionomics,,,
2262,"68.   Socio­security  measures  that  are  provided  to  the 

Review Question

workers by which of the following Act/Acts:",Factory Act,Central Maternity Benefit Act,Workman Compensation Act,Disablement Benefit Act,"Pensioners Act

[PGI Dec 03]",,
2263,72.   All are included in ‘High social safety net’ except:,High birth rate,High MMR,Reduction in institutional delivery,"High lMR

[Kolkata 2002]

mebooksfree.com

661

Social Sciences and HealthSocial Sciences and Health 
MULTIPLE CHOICE QUESTIONS

WATER",,,
2264,"8.   Horrock’s apparatus estimates: 

[AIIMS May 2006]

  1.  Purest water in nature is: 

[AIPGME 2000]",River water,Rain water,Deep well,Impounding reservoirs,,,
2265,"2.   All the following statements are true about break point 
chlorination, except: 
AIIMS May 2004]","Free  chlorine  is  released  in  water  after  break  point 

chlorination","Chlorine  demand  is  the  amount  needed  to  kill 
bacteria,  oxidize  organic  matter  and  neutralize 
ammonia","1 ppm free chlorine should be present in water after 

break point has reached",Contact period of 1 hour is necessary,,,
2266,"3.   Nitrates  in  excess  of—may  cause  infantile  methaemo-
[AIPGME 1997]

globinaemia:",15 mg/l,25 mg/l,35 mg/l,45 mg/l,,,
2267,"4.   All the following provide evidence of faecal pollution 
[AIIMS Sep 1996]

except:",Faecal streptococci,Coliform,Cl. Tetani,Enterpathogenic virus,,,
2268,"5.   Per capita allowance of water per day is recommended 
[AIIMS Nov 2005]

at:",70-80 lit,80-120 lit,120-150 lit,150-200 lit,,,
2269,"6.   Recommended  standard  for  bacterial  water  quality  in 
[AIIMS Dec 1997]

small community supplies is:",No coliform,No E coli in 100 ml,Coliform less than 10/100 ml,Coliform less than 1/100 ml,,,
2270,"7.   Temporary  hardness  of  water  is  primarily  due  to  the 
[AIIMS Nov 2007]

presence of:",Free chlorine,(d)  Chlorine demand,(a) +,Calcium and magnesium nitrates,,,
2271,"9.   Which  one  of  the  following  methods  is  used  for  the 

estimation of chlorine demand of water?

[AIIMS Nov 2006, AIIMS May 2007, 2010, RJ 2001]",Chlorometer,Horrock’s apparatus,Berkefeld filter,Double pot method,,,
2272,"10.   Ortho-toulidine test is used to determine:

[AIIMS Nov 1995, AIIMS Nov 2004, WB 2002]
[AIPGME 2011]
[Recent Question 2012]",Nitrates in water,Nitrites in water,Free and combined chlorine in water,Ammonia content in water,,,
2273,11.   Most desired temperature range for drinking water is:,0-5°C,5-10°C,10-15°C,"15-20°C

[AIIMS May 1995]",,,
2274,12.   Most undesirable metal in drinking water is:,Iron,Copper,Zinc,"Lead

[AIIMS June 1991]",,,
2275,"13.   ‘Most reliable’ evidence of fecal contamination of water 
[AIPGME 1999]

is provided by:",Coliform bacteria,Cl. Perfringens,St. fecalis,Cl. welchii,,,
2276,"14.   Scabies,  an  infection  of  the  skin  caused  by  Sarcoptes 
[AIPGME 2002]

scabiei, is an example of:",Water borne disease,Water washed disease,Water based disease,Water related disease,,,
2277,"15.   A daily water supply considered adequate to meet the 

need for all urban domestic purposes is:",10 litres per capita,"20 litres per capita

[AIIMS Nov 2000]

mebooksfree.com

693

Environment and HealthEnvironment and Health",Horrock’s apparatus,Winchester Quart Bottle,,,
2278,"16.   All are “Water-Washed Diseases” except:

  24.  Indicator solution in Horrock’s Apparatus contains:",Ortho-toulidine,Starch iodide,Ortho-toulidine arsenite,"Bromocresol purple

[AIIMS Nov 2006]",,,
2279,17.   All are true for Rapid Sand Filters except:,No preliminary storage of raw water is required,Operation requires highly skilled persons,Frequent washing is not required,"Can be gravity type or pressure type

[AIPGME 1997]",,,
2280,"18.   Disinfecting action of chlorine on water is mainly due 
[AIPGME 2005]
[Recent Question 2013]
[DNB 2001, 2011, RJ 2001]

to:",Hydrogen chloride,Hypochlorous acid,Hypochlorite ions,Hydrogen ions,,,
2281,"19.   Which of the following agents have ‘residual germicidal 

effect’ when used for disinfection of water:",Chlorine only,Chlorine and Ozone gas,Chlorine and UV radiation,"Chlorine, Ozone gas and UV radiation

[AIIMS Dec 1995]",,,
2282,"20.   Proposed guideline values for Radioactivity in 

Drinking water is: 
[AIPGME 2001]","Gross  a  activity  0.1  Bq/L  and  Gross  b  activity  1.0 

Bq/L","Gross  a  activity  1.0  Bq/L  and  Gross  b  activity  0.1 

Bq/L",,,,,
2283,"25.   The  minimum  recommended  dose  of  “free”  residual 
chlorine in water for routine chlorination (in mg/ lts) is:
[AIPGME 2002, MP 2003, PGMCET 2015, AIIMS May 1991]
[Bihar 2004]
[DNB 2008]",0.5 mg/l for a contact period of 1hr,0.5 mg/l for a contact period of 1/2 hr,1.0 mg/l for a contact period of 1hr,"1.0 mg/l for a contact period of 1/2 hr

[Karnataka 2009, WB 2004, RJ 2000, 2005]",,,
2284,26.   True statement regarding chlorination is,"Orthotolidine  test  measures  combined  chlorine 
[DPG 2005]

separately:",Chlorine acts best when pH is around 7,"It kills bacteria, viruses and spores","Hypochlorite ions are mainly responsible for 

disinfecting activity",,,
2285,"27.   What  is  the  amount  of  bleaching  powder  required  to 
disinfect 455 litre of water if 4, 5, 6 cup shows distinct 
colouration in Horrock’s apparantus? 
[DPG 2007]",2 g,6 g,8 g,4 g,,,
2286,28.   Temporary hardness of water is due to presence of:,,,"Gross  a  activity  1.0  Bq/L  and  Gross  b  activity  10.0 

[Karnataka 2004]

Bq/L","Gross  a  activity  10  Bq/L  and  Gross  b  activity  1.0 

Bq/L",,,
2287,21.   MPN Multiple Tube Method is done to:,"Detect  the  presence  of  Coliform  organisms  in  a 
[AIIMS Dec 1995]","Detect the presence of Faecal streptococci in a sample 

sample of water 

of water","Detect the presence of Cl. perfringens in a sample of 

water",Do the colony count of bacteria,,,
2288,22.   Level of hardness in soft water is ___ mEq/liter:,Bicarbonates of calcium and magnesium,Chlorides of calcium and magnesium,Nitrates of calcium and magnesium,Oxides of calcium and magnesium,,,
2289,"29.   When the level of hardness in water is around 150-300 
[Karnataka 2008]

mg	/	litre	it	is	classified	as:",Very hard water,Hard water,Moderately hard water,Soft water,,,
2290,"30.	  Slow	sand	filter	is	differentiated	from	rapid	sand	filter	
[PGI June 08]

by:",Bacteria are removed more effectively,Skilled person is needed,Cost construction is cheaper,Sand particle are of smaller size,Longer duration is needed,,
2291,"23.	  To	find out the dose of bleaching powder required for 

disinfection of water, following is used:",Chloroscope,"Chloronome

[AIIMS Dec 1994-95]",,,,,
2292,"31.   Indication  of  Fecal  contamination  of  water  is  due  to 
[PGI Dec 03]

presence of:",E. coli,"Coliform 

694

mebooksfree.com

Review of Preventive and Social MedicineEnvironment and Health",Enterococci,Clostridium difficile,Streptococcus pyogenes,,
2293,"32.   NOT seen in fecal pollution: 

[AIIMS May 2010]",Staphylococcus,Streptococcus,E.coli,Clostridium perfringens,,,
2294,"33.	  All	 of	 the	 following	 statements	 about	 purification	 of	
water are true except: 
[AIIMS May 2010]","Presence  of  Clostridial  spores  indicates  recent  con-

tami nation of water","Coliforms  must  not  be  detectable  in  any  100  ml 

sample of drinking water","Sodium  thiosulphate  is  used  to  neutralize  certain 

contaminants","Coliforms may be detected by multiple tube method 

and indole production",,,
2295,"34.	  All	the	following	statements	about	purification	of	water	
[AIIMS May 2011]
indicate  recent 

are true except:","Presence  of  clostridial  spores 

contamination","Coliforms  must  not  be  detectable  in  any  100  ml 

sample of drinking water",Sodium thiosulphate is used to neutralize chlorine,"Coliforms may be detected by multiple tube method 

and indole production at 44 degrees",,,
2296,"35.	  In	a	slow	sand	filter,	the	element	responsible	for	yiel	d­
[Karnataka 2011]

ing bacteria free water is the:",Valve,Vital layer,Supernatant water,Under-drainage system,,,
2297,36.	  True	about	slow	sand	filter	is:,Occupies less space,More expensive,Requires longer duration,"Sand size 0.4-0.7 mm

[Recent Question 2013]",,,
2298,"37.   Coliform test is for: 

[Recent Question 2013]",Air pollution,Water contamination,Sound pollution,,,,
2299,"38.   Softening is recommended when hardness of water is 
[Recent Question 2012] 

more than:",50 mg/litre,75 mg/litre,100 mg/litre,150 mg/litre,,,
2300,39.	  The	vital	layer	in	a	slow	sand	filter	is:	 [DNB June 2011],Sand bed,Under drainage,Zoological layer,Supernatant,,,
2301,"40.   Horrock’s apparatus determines Chloride which has to 
[Recent Question 2012]

have a holding level of:",1.0 mg/L,1.5 mg/L,2.0 mg/L,0.5 mg/L,,,
2302,41.	  Process	of	deflouridation	of	water	is:,Nalgonda technique,Soaking,Sand filter,"Parboiling

[Recent Question 2012]",,,
2303,"42.   Criteria  for  drinking  water  quality  recommended  by 
[PGI May 2013]

WHO includes:",Colour <15 TCU,pH 6.5 – 8.5,Chloride 200-600 mg/l,Turbidity <5 NTU,Zinc <4 mg/l,,
2304,"43.   Hardness of drinking water should be: 

[Recent Question 2013] [DNB December 2011]",>3,<1,01-Mar,>3,,,
2305,"44.   Faecal contamination of drinking water is evaluated by: 
[Recent Question 2012]",Klebsiella,E. coli,Proteus,Coagulase negative staphylococci,,,
2306,"45.	  Nalgonda	technique	for	defluoridation	is	in	what	seq­
[Recent Question 2012] 

uence:",Lime + Alum,Soda + Alum,Alum + Soda,Alum + Lime,,,
2307,"46.   A chloride level________ is said to be accepted by WHO: 
[DNB 2007]",0.2 mg/L,0.5 mg/L,45 mg/L,200 mg/L,,,
2308,"47.   Minimum  chlorine  content  of  water  after  chlorination 
[DNB December 2011]

should be:",0.5 mg/L,5 mg/L,0.05 mg/L,50 mg/L,,,
2309,"48.   Bacterial indicator of recent contamination of water is?
[Recent Question 2013]
[DNB 2011]",Clostridium perfringens,E.coli,Clostridium welchii,"Faecal streptococci

695

mebooksfree.com

Environment and HealthEnvironment and Health",,,
2310,"49.	  Confirmatory	Test	for	coliform	count:

[Recent Question 2013]",Eijkman test,Casoni’s test,Nitrate test,Urease test,,,
2311,50.   Safe water criteria include:,Free from pathogens,Free from harmful chemicals,Free from chlorine,Free from colour and odour,"Usable for agricultural purposes

[PGI November 2013]
[AIPGME 1992]",,
2312,"51.		  Method	 of	 choice	 for	 purification	 of	 highly	 polluted	
 [AP 2014]

water on a large scale is:",Boiling,Chlorination,Super chlorination followed by dechlorination,Ultraviolet light treatment,,,
2313,"52.    Minimum residual chloride level post-epidemic

[Recent Question 2015]",0.2 mg/L,0.5 mg/L,5 mg/L,10 mg/L,,,
2314,53.    Test for recent contamination of water is  [CGPG 2015],Nitrates,Nitrites,Ammonia,"Chlorides

Review Questions",,,
2315,54.   Not a feature of hard water is:,Increased fuel consumption,Erosion of lead pipe,Scaling of boiler,Decreased soap consumption,,,
2316,55.   Fresh bleaching powder contains:,33% chlorine,3.3% chlorine,0.33% chlorine,"0.033% chlorine

[Bihar 2005]

[Bihar 2005]
[WB 2009]",,,
2317,56.   All are example of water borne disease except:,Leptospirosis,Fish tapeworm,Shistosomiasis,"Brucellosis

[UP 2000]",,,
2318,"57.   Bacteriological quality of drinking water is small com-
[UP 2004, Kerala-01]

munity is acceptable upto:",No coliform bacteria in water,10 coliform bacteria in 100 ml water,10 E. coli in 100 ml III water,100 E. coli in 100 ml. Water,,,
2319,"58.   All  the  following  assess  the  water-quality-criteria  for 
[UP 2006]

water pollution are all except:",Solid particles,Dissolved oxygen,Dissolved chloride,Dissolved nitrogen,,,
2320,"59.   Maximum permissible chloride level is: 

[UP 2008]",200 mg/litre,300 mg/litre,500 mg/litre,600 mg/litre,,,
2321,60.   Action of Bleaching powder is due to release of:,Free Chlorine,Lime,Hydrochloric acid,"Hydrogen ions

[AP 2001]",,,
2322,"61.	  Vital	layer	in	slow	sand	filter	is	seen:	

[AP 2004]",Top of water,On the sand bed,Near filter valves,,,,
2323,"62.   Contact time for chlorination: 

[AP 2005, 2008]",4 hrs,1 hr,11/2 hr,2 hrs,,,
2324,"63.	  Effective	size	of	sand	in	rapid	sand	filter	is:	

[AP 2008]",0.2 mm,0.5 mm,0.8 mm,0.1 mm,,,
2325,"64.	  When	 river	 water	 is	 stored	 for	 the	 first	 5­7	 days,	 the	
[TN 2003]

bacterial count drops by as much as:",25%,50%,90%,100%,,,
2326,"65.	  The	vital	layer	of	slow	sand	filter	is:	

[TN 2005]",Schmutzdecke,Under-drainage system,Supernatant water,Filter control valves,,,
2327,66.   Most effective water treatment method in rural area:,Rapid sand filter,Slow and filter,Chlorination of water,"Ozonization

[MP 2002]",,,
2328,"67.   Criteria for safe drinking water: 

[MP 2004]",pH 6.5-8.5,Chloride 0.8 g/L,Nitrate 0.2 g/L,"Solids-12000 mg/L

696

mebooksfree.com

Review of Preventive and Social MedicineEnvironment and Health",,,
2329,68.   Schmutzdecke refers to the following:,Suspended matter in drinking water,Algae in drinking water,Alum flocculate on surface of sand bed filter,"Algae, plankton, diatoms and bacteria on surface of 

[MP 2007]

sand bed filter",,,
2330,"69.   Water  sample  from  a  well  was  tested  using  Horrock’s 
apparatus. It was observed that 3rd white cup showed 
blue  colour  after  addition  of  starchiodide  indicator: 
How  much  bleaching  powder  is  required  to  disinfect 
2275 liters of the well water? 
[MP 2008]",5 gm,15 gm,25 gm,30 gm,,,
2331,"70.	  One	chlorine	tablet	is	efficient	to	chlorinate	how	many	
[MH 2002, 2003]

liters of water?",10 liters,20 liters,30 liters,40 liters,,,
2332,71.   Drawback of ozone as water disinfectant is:  [MH 2003],No virucidal effect,Long time period for action,Teratogenicity,No residual action,,,
2333,"72.   Criteria for “Problem village” include all except:

[JIPMER 1998, MH 2006]","Where no water source in a distance of 1.6 km from 

community",Water is more than depth of 15 meter,"There is excess of Na+, K+, F+ salts",Risk of Guinea worm infection,,,
2334,"73.   Recommended hardness of water (mequ/L): 

[RJ 2002]",50-150,150-300,300-500,"700

AIR",,,
2335,"74.   Psychrometer is used to measure: 

[AIPGME 2008]",Humidity,Air velocity,Room temperature,Radiant heat,,,
2336,76.   All are indicators of air pollution except:,Soiling index,McArdle’s index,Suspended particle count,"SO2 Concentration

[AIIMS May 1995]",,,
2337,77.   McArdle’s maximum allowable sweat rate is:,4 lit /4 hours,4 lit /1 hours,4.5 lit/4 hours,"4.5 lit/8 hours

[AIIMS June 1997]",,,
2338,78.   Kata thermometer measures:,Air temperature only,Air temperature and humidity,"Air temperature, humidity and air movement","Air velocity only

[AIIMS Dec 1998]
[Recent Question 2012]
[Karnataka 2004]",,,
2339,79.   ‘Cooling Power’ of air is measured by:,Kata thermometer,Hygrometer,Anemometer,"Sling’s Psychrometer

[AIIMS Nov 2000]",,,
2340,"80.   The mechanical system in which fresh air is blown into 
the  room  by  centrifugal  fans  so  as  to  create  positive 
pressure and displace the vitiated air is termed as:",Balanced ventilation,Air conditioning,Exhaust ventilation,"Plenum ventilation

[Karnataka 2009]",,,
2341,81.   The mean radiant temperature is measured by:,Dry bulb thermometer,Wet bulb thermometer,Six’s maximum and minimum thermometer,"Globe thermometer

[Karnataka 2004]",,,
2342,"82.   The instrument used for recording very low air veloci-
[Karnataka 2005]

ties is:",Globe thermometer,Kata thermometer,Anaemometer,Sling psychrometer,,,
2343,"83.   Global warming true is: 

[AIIMS May 2010]",CO2 is a major greenhouse gas,Stratosphere ozone layer is harmful,CFC increases stratosphere ozone layer,"Kyoto  protocol  called  for  20%  reduction  in  green-

house emissions",,,
2344,"75.   All of the following are types of mechanical ventilation 
[AIIMS May 1995]

except:",Perflation and Aspiration,Exhaust ventilation,Plenum ventilation,Air conditioning,,,
2345,"84.   Which  of  the  following  is  not  a  source  of  Indoor  Air 
[AIPGME 2011]

Pollution?",Carbon monoxide,Nitrogen dioxide,Radon,"Mercury vapour

697

mebooksfree.com

Environment and HealthEnvironment and Health",,,
2346,"85.   Indoor air pollution does not cause:  

Review Questions

[AIIMS PGMEE November 2013]",Chronic lung disease,Pregnancy problems,Childhood pneumonia,Neuro-developmental problems,,,
2347,"86.   Which of the following is non-natural gas causing green 
[Recent Question 2012] 

house effect?",Carbon dioxide,Methane,Ozone,CFCs,,,
2348,87.   The best parameter to measure air pollution is:,SO2,CO2,CO,"N2O

[DNB 2002, 2005, 2006, 2007, UP 2002]
[Bihar 2004, RJ 2006]",,,
2349,"88.   Acceptable level for physical comfort:

[DNB 2008, UP 2005, Recent Question 2013]",Corrected effective temperature 77-80ºF,Corrected effective temperature 70-76ºF,Corrected effective temperature 80-81ºF,Corrected effective temperature >82ºF,,,
2350,"89.   Air velocity is measured by: 

[Recent Question 2012]",Hygrometer,Psychrometer,Anemometer,Wet bulb thermometer,,,
2351,"94.   Number  of  air  changes  in  a  drawing  room  per  hour 
[DNB 2000, 2006, 2008]
[Recent Question 2013]

should be at least:",02-Mar,03-Apr,04-May,05-Jun,,,
2352,"95.   Number  of  air  changes  in  one  hour  in  a  work  room 
[DNB 2001]

should be at least:",02-Mar,03-Apr,04-Jun,05-Jul,,,
2353,"96.   Acceptable level for physical comfort: 

[DNB 2008]",Corrected effective temperature 79°F,Corrected effective temperature 70-76°F,Corrected effective temperature 80-81°F,Corrected effective temperature > 82°F,,,
2354,"97.   In  Indoor  air  pollution,  carbon  monoxide  is  produced 
[UP 2007]

by:",Combustion equipment,Stove,Gas heaters,All of the above,,,
2355,"98.   Kata thermometer is used nowadays to determine:

[AFMC 2000, Karnataka 2004, UPSC 2000, TN 2000]

  90.  Which agency monitors air quality in India?",Air velocity,Humidly of air,Direction of air flow,Central Pollution Control Board,,,
2356,"99.   CO2 in air is measured by: 

[Kolkata 2003]

  91.   In winter, water vapours and pollutants comes to lie in 

the lowermost layer of atmosphere by:",Acid rain,Green house effect,Temperature inversion,"Ocean effect

[Recent Question 2013]",,,
2357,"92.    At which level of heat stress index it is not possible to 

work comfortably causing threat to health:",20 - 40,40 - 60,60 - 80,"80 – 100

[Recent Question 2012]",,,
2358,"93.    Which of the following is not a feature of heat stress?
[UPSC CMS 2015]",Manometer,Hygrometer,Kiffer test,,,,
2359,100.   Relative humidity is determined by:,Kata thermometer,Anemometer,Sling psychrometer,"Gardbad apparatus

SOUND

[Karnataka 2005]
[MH 2000]",,,
